hotel_name,hotel_location
그랜드 워커힐 서울 ,서울특별시 광진구 워커힐로 177
스위스 그랜드 호텔 서울 ,서울 광진구 워커힐로 177
메이필드 호텔 서울 ,서울 서대문구 연희로 353
워커힐 더글라스 하우스  ),서울 강서구 방화대로 94
롯데호텔 월드 ,서울 광진구 워커힐로 177
이태원에 있는 숙소  ,
비스타 워커힐 서울 ,서울 광진구 워커힐로 177
그랜드 하얏트 서울 ,서울 광진구 워커힐로 177
노보텔 앰배서더 서울 강남  ,서울 용산구 소월로 322
서울신라호텔 ,서울 강남구 봉은사로 130
롯데호텔 서울 ,서울 중구 동호로 249
노보텔 스위트 앰배서더 서울 용산 ,서울 중구 을지로 30
소피텔 앰배서더 서울 호텔 & 서비스드 레지던스 ,서울 용산구 청파로20길 95
어바웃스테이 신사점 ,서울 송파구 잠실로 209
몬드리안 서울 이태원 ,서울 강남구 강남대로 620
앰배서더 서울 풀만 호텔 ,서울 용산구 장문로 23
호텔 나루 서울 엠갤러리 앰배서더 ,서울 중구 동호로 287
시그니엘 서울 ,서울특별시 송파구 올림픽로 300
인터컨티넨탈 서울 코엑스 ,서울 송파구 올림픽로 300
파라스파라 서울 ,서울 강남구 봉은사로 524
페어몬트 앰배서더 서울 ,"서울시 영등포구 여의대로 108,"
콘래드 서울 ,서울 영등포구 여의대로 108
조선 팰리스 서울 강남 럭셔리 컬렉션 호텔  ,서울 영등포구 국제금융로 10
밀레니엄 힐튼 서울 ,서울 강남구 테헤란로 231
그랜드 인터컨티넨탈 서울 파르나스 ,서울 중구 소월로 50
JW 메리어트 호텔 서울 ,서울 강남구 테헤란로 521
그랜드 머큐어 앰배서더 호텔 앤 레지던스 서울 용산 ,서울 서초구 신반포로 176
안다즈 서울 강남 ,서울 용산구 청파로20길 95
파크 하얏트 서울 ,서울 강남구 논현로 854
포시즌스 호텔 서울 ,서울 강남구 테헤란로 606
롯데호텔서울 이그제큐티브 타워 ,서울 종로구 새문안로 97
"여의도 파크 센터, 서울 - 메리어트 이그제큐티브 아파트먼트 ",서울 중구 을지로 30
웨스틴 조선 서울 ,서울 영등포구 여의대로 8
Seoul D Cube City Hotel,서울 중구 소공로 106
JW 메리어트 동대문 스퀘어 서울 ,서울특별시 종로구 청계천로 279
더 플라자 서울 오토그래프 컬렉션 ,서울 종로구 청계천로 279
반얀트리 클럽 앤 스파 서울 ,서울 중구 소공로 119
3S 호텔 독산점 ,서울 중구 장충단로 60
르메르디앙 서울 명동 ,서울 금천구 시흥대로 353
