hotel_name,hotel_location
인터시티 서울 호텔 ,서울 강서구 마곡중앙6로 76-3
코트야드 서울 보타닉파크 ,서울 강서구 마곡중앙12로 10
나인트리 프리미어 호텔 인사동 ,서울 종로구 인사동길 49
유니언 호텔 ,서울 영등포구 양평로 136
포포인츠 바이 쉐라톤 서울 구로 ,서울 구로구 디지털로32길 72
오라카이 청계산 호텔 ,서울 서초구 청계산로9길 1-7
강남에 있는 숙소  ,
엠디 호텔 독산  ),서울 금천구 시흥대로 315
스탠포드 호텔 서울 ,서울 마포구 월드컵북로58길 15
리베라 호텔 ,서울 강남구 영동대로 737
호텔 페이토 삼성 ,서울 강남구 테헤란로87길 9
삼정 호텔 ,서울 강남구 봉은사로 150
오라카이 대학로 호텔 ,서울 종로구 율곡로 180
이비스 스타일 앰배서더 서울 명동 ,서울 중구 삼일대로 302
동서울 호텔 ,서울시 광진구 구의동 595
신라스테이 구로 ,서울 동작구 시흥대로 596
더 퍼스트 스테이 호텔  ),서울 강서구 마곡동로4길 23
신라스테이 마포 ,서울 마포구 마포대로 83
아미드 호텔 서울 ,서울 종로구 인사동5길 38
코리아나 호텔 ,서울 중구 세종대로 135
서울 가든 호텔 ,서울 마포구 마포대로 58
신라스테이 서초 ,서울 서초구 효령로 427
이비스 스타일 앰배서더 서울 용산 ,서울 용산구 청파로20길 95
핸드픽트 호텔 앤 컬렉션스 ,서울특별시 동작구 상도로 120
신라스테이 광화문 ,서울 종로구 수송동 51-8
더케이호텔 서울 ,서울 서초구 바우뫼로12길 70
호텔 베르누이 서울 ,서울 구로구 경인로 229
글래드 강남 코엑스 센터 ,서울 강남구 테헤란로 610
신라스테이 서대문 ,서울 서대문구 미근동 163
프레지던트 호텔 ,서울 중구 을지로 16
로이넷 호텔 서울 마포 ,서울 마포구 마포대로 67
L7 강남 ,서울 강남구 테헤란로 415
신라 스테이 삼성 ,서울 강남구 영동대로 506
UH FLAT 더 서초 ,서울 서초구 효령로53길 50
프레이저 플레이스 남대문 서울 ,서울 중구 세종대로 58
소테츠 호텔 더 스프라지르 서울 명동 ,서울 중구 남대문로5길 15
켄싱턴호텔 여의도 ,서울 영등포구 국회대로76길 16
