hotel_name,hotel_location
호텔 파크하비오 ,서울 송파구 송파대로 111
호텔 페이토 강남 ,서울 서초구 강남대로 259
도미인 서울 강남 ,서울 강남구 봉은사로 134
스타즈 호텔 명동 2호점 ,서울 중구 수표로 16
롯데시티호텔 구로 ,서울 구로구 디지털로 300
강남에 있는 숙소  ,
N285호텔 인사동 ,서울 종로구 삼일대로 423
호텔 엠펠리체 ,서울 강서구 마곡동로4길 15
롯데시티호텔 김포공항 ,서울 강서구 하늘길 38
이비스 스타일 앰배서더 서울 강남 ,서울 강남구 삼성로 431
호텔 더 디자이너스 홍대 ,서울 마포구 양화로 86
토요코 인 강남 서울 ,서울 서초구 강남대로 323
나이아가라 호텔 ,서울 강서구 양천로 743
호텔 가온 골든파크 동대문 ,서울 종로구 종로44길 77
호텔 더 디자이너스 서울역 ,서울특별시 용산구 한강대로 305
어반 플레이스 레지던스 강남 ,서울 서초구 효령로77길 30
호텔 더 디자이너스 리즈 강남 프리미어 ,서울 강남구 봉은사로 113
SR 호텔 서울 마곡 ,서울 강서구 강서로 400
브라운 스위트 호텔 신촌 센트럴 ,서울 마포구 서강로 137
호텔 선샤인 서울 ,서울 강남구 도산대로 205
라마다 호텔 앤 스위트 남대문 ,서울 중구 칠패로 27
라마다 바이 윈덤 서울 동대문 ,서울특별시 중구 동호로 354
임피리얼 팰리스 부티크 호텔 이태원 ,서울 용산구 이태원로 221
레이크 호텔 ,서울 송파구 석촌호수로 216
롯데시티호텔 마포 ,서울 마포구 마포대로 109
로얄스퀘어호텔 서울 ,서울 강서구 공항대로 30
더 리버 사이드 호텔 ,서울 서초구 강남대로107길 6
잠실 딜라이트 호텔 ,서울 송파구 오금로11길 21-9
스테이 호텔 강남 ,서울 강남구 논현로87길 15-4
베이튼 서울 동대문 호텔 ,서울 중구 동호로 346
파티오7 호텔 ,서울 강남구 논현로 736
맹그로브 동대문 ,서울 중구 퇴계로 334
해밀톤 호텔 이태원 ,서울 용산구 이태원로 179
글루 호텔 ,서울 종로구 율곡로 228
이비스 앰배서더 서울 인사동 호텔 ,서울 종로구 삼일대로30길 31
호텔 베뉴지 ,서울 종로구 청계천로 117
제이케이 블라썸 호텔 ,서울 강서구 양천로65길 41-22
호텔 부티크나인 ,서울 동대문구 왕산로 28
호텔 쿠레타케소 인사동 ,서울 종로구 인사동길 20-9
호텔 부티크나인 능동 ,서울 광진구 천호대로 560
코보스 호텔 ,서울 영등포구 국회대로72길 9
호텔 크레센도 서울 ,서울 강남구 봉은사로 428
호텔 더 디자이너스 청량리 ,서울 동대문구 왕산로 226
호텔 더 디자이너스 종로 ,서울 종로구 수표로 89-8
CS 프리미어 호텔 ,서울 관악구 남부순환로 1458
호텔 메이플레이스 서울 동대문 ,서울 종로구 율곡로 179
호텔 뉴브 ,서울 강남구 선릉로85길 6
보보 호텔 홍대 ,서울 마포구 양화로 94
파이브호텔 종로 ,서울 종로구 창경궁로16가길 9
뜨랑 블루 호텔 ,서울 관악구 신림동7길 52
호텔 WD ,서울 관악구 신림로 349
역삼 아르누보씨티 호텔 앤 레지던스 ,서울특별시 강남구 역삼동 701-1
호텔 안테룸 서울 ,서울 강남구 도산대로 153
통통 쁘띠호텔 ,서울 종로구 율곡로10길 91
도봉 호텔베이204 ,서울 도봉구 도봉로 710
HOTEL DM,서울 종로구 난계로29길 73
더 가든 호텔 ,서울 종로구 돈화문로11나길 63
르 서울 호텔 ,서울 중구 남대문로1길 56
가락 관광 호텔 ,서울 송파구 송파대로28길 5
UH 스위트 더 명동 ,서울특별시 중구 명동8가길 49
프렌들리 DH 네상스 호텔 바이 민드럼 그룹 ,서울특별시 성북구 동소문로20나길 39
호텔 아트리움 ,서울 종로구 창경궁로 106
H 에비뉴 호텔 이대 신촌점 ,서울 마포구 신촌로 152
Toyoko Inn Seoul Dongdaemun I,서울특별시 중구 퇴계로 337
토요코인 서울 영등포 ,서울 영등포구 신길로 293
호텔 미드시티 명동 ,서울 중구 다동길 30
Gold River Hotel,서울 금천구 서부샛길 584
주니비노 호텔 ,서울 마포구 양화진2길 31
인사동 크라운 호텔 ,서울 종로구 삼일대로30길 9
렉스 관광호텔 ,서울 강남구 강남대로 588
서울앤호텔 동대문 ,서울 종로구 종로66가길 21
신림 도미니크 호텔 ,서울 관악구 남부순환로 1501
호텔 카푸치노 서울 ,서울 강남구 봉은사로 155
호텔 브릿지  ,서울 영등포구 영등포로 9
노블레스 관광호텔 ,서울 노원구 노해로77길 22
트레블로지 명동 을지로 호텔 ,서울 중구 수표로 61
트레블로지 동대문 서울 ,서울 중구 동호로 359
호텔 데님 서울 ,서울 강남구 논현로 66
호텔 유니크 바이 포레 ,서울 동대문구 이문로 192
아모렉스 호텔 ,서울특별시 성동구 도선동 72
호텔 티롤 ,서울특별시 서초구 나루터로 64
IBC 호텔 ,서울 종로구 난계로 241
발리 관광호텔 ,서울 강동구 풍성로 210
리치 다이아몬드 호텔 ,서울 강북구 삼양로 500-18
부띠크 호텔 SB 여의도 ,서울특별시 영등포구 영등포동3가 12-22
호텔 더 캐슬 잠실 ,서울특별시 송파구 올림픽로32길 7
호텔 더 디자이너스 건대 ,서울 광진구 천호대로 521
홀리데이 인 익스프레스 서울 홍대 ,서울 마포구 양화로 188
UH 스위트 더 서울 ,서울특별시 중구 만리동1가 33-1
써미트호텔 서울 동대문 ,서울특별시 중구 장충단로 198
디어스 명동 ,서울 중구 퇴계로 176
동대문 골든 시티 호텔 ,서울특별시 동대문구 천호대로 377
호텔 U5 ,서울 중구 동호로 369
호텔 마누 ,서울 중구 퇴계로 19
호텔 밀리오레 서울 ,서울 중구 장충단로 263
호텔 스카이파크 명동 2호점 ,서울특별시 중구 명동9길 22
호텔 나포레 ,서울 종로구 수표로18가길 17
나인 브릭 호텔 ,서울 마포구 홍익로5길 32
라인 호텔 명동 ,서울 중구 명동3길 36
호텔 클래시 ,서울 강북구 도봉로82길 13
스탠포드 호텔 명동 ,서울 중구 남대문로 84
피터캣 호텔 신촌 ),"서울특별시 마포구 백범로2길 21,"
CS 에비뉴 호텔 ,서울 은평구 통일로 585-1
